DNo., Day,DD,MMM,YYYY,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus ball,   Jackpot, Wins,   Machine  ,Set
2505, Wed,25,Dec,2019, 05,10,11,45,54,58,40,  15000000,    0,  Lancelot  , 11 
2504, Sat,21,Dec,2019, 12,27,33,36,42,45,26,   3800000,    0,  Guinevere , 10 
2503, Wed,18,Dec,2019, 13,15,36,44,50,56,45,   2000000,    1,  Guinevere , 10 
2502, Sat,14,Dec,2019, 02,21,23,32,44,49,56,  11598525,    0,  Guinevere ,  9 
2501, Wed,11,Dec,2019, 07,14,16,33,35,47,25,   9122574,    0,  Guinevere ,  9 
2500, Sat, 7,Dec,2019, 06,20,27,34,35,57,39,   7661555,    0,   Merlin   , 11 
2499, Wed, 4,Dec,2019, 09,13,21,25,28,31,01,   5434036,    0,   Merlin   , 11 
2498, Sat,30,Nov,2019, 08,16,24,36,40,57,51,   4133959,    0,   Arthur   , 10 
2497, Wed,27,Nov,2019, 07,16,22,39,48,55,50,   2000000,    0,   Arthur   , 10 
2496, Sat,23,Nov,2019, 23,25,28,38,47,58,31,  25000000,    0,   Arthur   ,  9 
2495, Wed,20,Nov,2019, 08,17,31,47,49,52,12,   8602997,    0,   Arthur   ,  9 
2494, Sat,16,Nov,2019, 02,10,25,51,56,59,17,   7237103,    0,   Merlin   ,  8 
2493, Wed,13,Nov,2019, 01,02,07,09,44,55,39,   5078822,    0,   Merlin   ,  8 
2492, Sat, 9,Nov,2019, 02,11,16,46,51,58,31,   3800000,    0,   Merlin   ,  7 
2491, Wed, 6,Nov,2019, 17,22,25,27,32,35,05,   6317431,    2,   Merlin   ,  7 
2490, Sat, 2,Nov,2019, 13,16,28,34,41,56,40,  10884211,    0,   Arthur   ,  6 
2489, Wed,30,Oct,2019, 02,08,19,41,51,56,23,   8609036,    0,   Arthur   ,  6 
2488, Sat,26,Oct,2019, 16,23,26,38,56,59,32,   7212165,    0,   Arthur   ,  5 
2487, Wed,23,Oct,2019, 05,29,30,39,53,58,19,   5107363,    0,   Arthur   ,  5 
2486, Sat,19,Oct,2019, 08,15,17,31,33,52,13,   3800000,    0,   Merlin   ,  8 
2485, Wed,16,Oct,2019, 04,05,18,29,40,47,57,  13023710,    0,   Merlin   ,  8 
2484, Sat,12,Oct,2019, 23,27,30,36,40,42,58,  11204025,    0,   Merlin   ,  7 
2483, Wed, 9,Oct,2019, 14,22,40,44,55,58,12,   8866885,    0,   Merlin   ,  7 
2482, Sat, 5,Oct,2019, 04,08,12,13,32,34,58,   7371542,    0,   Arthur   ,  6 
2481, Wed, 2,Oct,2019, 13,15,20,37,42,47,49,   5164870,    0,   Arthur   ,  6 
2480, Sat,28,Sep,2019, 02,19,21,23,29,42,26,   3800000,    0,   Arthur   ,  5 
2479, Wed,25,Sep,2019, 03,04,16,39,43,52,47,  12907599,    0,   Arthur   ,  5 
2478, Sat,21,Sep,2019, 18,23,32,33,34,41,54,  11043941,    0,   Merlin   ,  8 
2477, Wed,18,Sep,2019, 01,25,28,34,39,57,50,   8712337,    0,   Merlin   ,  8 
2476, Sat,14,Sep,2019, 06,10,14,19,26,43,28,   7274140,    0,   Merlin   ,  7 
2475, Wed,11,Sep,2019, 04,09,26,35,38,53,30,   5113347,    0,   Merlin   ,  7 
2474, Sat, 7,Sep,2019, 03,13,27,30,32,37,08,   3800000,    0,   Arthur   ,  6 
2473, Wed, 4,Sep,2019, 11,13,32,40,45,49,39,  12852503,    0,   Arthur   ,  6 
2472, Sat,31,Aug,2019, 05,10,16,26,41,58,15,  11058820,    0,   Arthur   ,  5 
2471, Wed,28,Aug,2019, 01,40,41,49,52,57,43,   8736316,    0,   Arthur   ,  5 
2470, Sat,24,Aug,2019, 27,36,39,45,46,55,38,   7360035,    0,   Merlin   ,  4 
2469, Wed,21,Aug,2019, 11,14,26,51,53,58,30,   5096106,    0,   Merlin   ,  4 
2468, Sat,17,Aug,2019, 06,09,10,41,46,58,45,   3800000,    0,   Merlin   ,  3 
2467, Wed,14,Aug,2019, 14,16,24,28,30,53,23,  12675909,    0,   Merlin   ,  3 
2466, Sat,10,Aug,2019, 05,08,09,17,23,29,49,  10861287,    0,   Arthur   ,  2 
2465, Wed, 7,Aug,2019, 07,11,36,44,52,58,31,   8607863,    0,   Arthur   ,  2 
2464, Sat, 3,Aug,2019, 08,30,34,44,45,57,31,   7207889,    0,   Arthur   ,  1 
2463, Wed,31,Jul,2019, 09,18,20,42,43,46,30,   5070482,    0,   Arthur   ,  1 
2462, Sat,27,Jul,2019, 14,19,30,45,48,58,03,   3800000,    0,   Merlin   ,  4 
2461, Wed,24,Jul,2019, 02,04,17,28,37,45,22,   5067046,    1,   Merlin   ,  4 
2460, Sat,20,Jul,2019, 14,18,23,28,36,37,32,   3800000,    0,   Merlin   ,  3 
2459, Wed,17,Jul,2019, 05,08,40,41,43,45,23,  12500333,    0,   Merlin   ,  3 
2458, Sat,13,Jul,2019, 18,25,29,32,35,58,12,  10751044,    0,   Arthur   ,  2 
2457, Wed,10,Jul,2019, 04,10,11,17,53,54,06,   8512227,    0,   Arthur   ,  2 
2456, Sat, 6,Jul,2019, 24,30,44,50,56,57,09,   7161130,    0,   Arthur   ,  1 
2455, Wed, 3,Jul,2019, 10,20,27,29,38,52,57,   5068385,    0,   Arthur   ,  1 
2454, Sat,29,Jun,2019, 11,32,43,44,47,52,27,   3800000,    0,   Merlin   ,  4 
2453, Wed,26,Jun,2019, 05,07,09,24,32,44,38,  12497210,    0,   Merlin   ,  4 
2452, Sat,22,Jun,2019, 06,09,17,32,44,57,11,  10756674,    0,   Merlin   ,  3 
2451, Wed,19,Jun,2019, 22,26,31,39,47,55,35,   8513030,    0,   Merlin   ,  3 
2450, Sat,15,Jun,2019, 07,40,42,47,52,54,29,   7154203,    0,  Guinevere ,  2 
2449, Wed,12,Jun,2019, 06,16,34,36,37,53,50,   5053365,    0,  Guinevere ,  2 
2448, Sat, 8,Jun,2019, 12,13,22,37,42,55,43,   3800000,    0,  Guinevere ,  1 
2447, Wed, 5,Jun,2019, 11,20,23,32,33,56,25,   2000000,    1,  Guinevere ,  1 
2446, Sat, 1,Jun,2019, 08,26,36,39,40,47,42,   3800000,    1,  Guinevere ,  5 
2445, Wed,29,May,2019, 03,15,27,32,46,53,57,   2000000,    1,  Guinevere ,  1 
2444, Sat,25,May,2019, 05,09,26,35,43,54,24,   4085154,    1,  Lancelot  ,  6 
2443, Wed,22,May,2019, 07,27,31,36,37,50,18,   2000000,    0,  Guinevere ,  8 
2442, Sat,18,May,2019, 07,22,23,26,31,54,03,  11708252,    0,  Lancelot  ,  7 
2441, Wed,15,May,2019, 08,11,18,39,44,50,23,   9288519,    0,  Guinevere ,  5 
2440, Sat,11,May,2019, 13,14,19,45,49,55,24,   7861134,    0,  Guinevere ,  6 
2439, Wed, 8,May,2019, 16,19,31,35,45,56,59,   5656449,    0,  Lancelot  ,  8 
2438, Sat, 4,May,2019, 16,17,35,39,40,55,41,   4383861,    0,  Guinevere ,  5 
2437, Wed, 1,May,2019, 10,12,23,29,35,57,09,   2000000,    0,  Guinevere ,  5 
2436, Sat,27,Apr,2019, 01,07,26,34,52,53,10,  11396192,    0,  Guinevere ,  7 
2435, Wed,24,Apr,2019, 22,29,35,41,43,51,42,   8964024,    0,  Guinevere ,  6 
2434, Sat,20,Apr,2019, 07,08,11,17,34,54,04,   7531166,    0,  Lancelot  ,  8 
2433, Wed,17,Apr,2019, 08,23,28,42,43,51,52,   5378892,    0,  Guinevere ,  7 
2432, Sat,13,Apr,2019, 04,10,15,24,37,38,30,   4096661,    0,  Lancelot  ,  6 
2431, Wed,10,Apr,2019, 20,22,36,42,48,49,30,   2000000,    0,  Guinevere ,  6 
2430, Sat, 6,Apr,2019, 05,08,22,33,36,43,21,  11399990,    1,  Guinevere ,  8 
2429, Wed, 3,Apr,2019, 05,09,17,26,35,52,44,   9013509,    0,  Guinevere ,  6 
2428, Sat,30,Mar,2019, 03,27,35,45,54,55,24,   7604094,    0,  Lancelot  ,  7 
2427, Wed,27,Mar,2019, 13,18,25,35,39,50,21,   5391107,    0,  Lancelot  ,  8 
2426, Sat,23,Mar,2019, 06,26,30,50,52,59,27,   4119911,    0,  Lancelot  ,  5 
2425, Wed,20,Mar,2019, 02,19,35,53,56,58,12,   2000000,    0,  Guinevere ,  7 
2424, Sat,16,Mar,2019, 06,26,32,37,42,59,38,   3800000,    1,  Lancelot  ,  8 
2423, Wed,13,Mar,2019, 01,11,29,40,46,48,17,  12984966,    0,  Guinevere ,  5 
2422, Sat, 9,Mar,2019, 22,27,35,40,46,52,02,  11252974,    0,  Guinevere ,  7 
2421, Wed, 6,Mar,2019, 02,12,15,43,46,53,17,   8876514,    0,  Lancelot  ,  6 
2420, Sat, 2,Mar,2019, 04,08,16,19,33,45,54,   7379371,    0,  Lancelot  ,  7 
2419, Wed,27,Feb,2019, 19,20,22,31,51,54,16,   5143862,    0,  Guinevere ,  5 
2418, Sat,23,Feb,2019, 06,09,38,40,42,48,57,   3800000,    0,  Lancelot  ,  8 
